1 kaneko 0196 0 02 00 00 BG-01-5650-07-060-A きりぎりす きりぎりす きりぎりす
1 kaneko 0196 0 69 00 00 BG-08-0069-30-010-A よ よ よ
2 kaneko 0196 2 69 00 00 BG-08-0073-07-010-A よ よ よ
1 kaneko 0196 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0196 0 56 00 00 BG-03-1000-02-040-A そう そう そう
1 kaneko 0196 0 51 50 07 BG-03-1400-04-160-A ひどく ひどい ひどい
1 kaneko 0196 0 47 08 01 BG-02-3030-03-010-A 啼く なく 啼く
1 kaneko 0196 0 69 00 00 BG-08-0069-10-010-A な な な
1 kaneko 0196 0 69 00 00 BG-08-0069-30-010-A よ よ よ
2 kaneko 0196 2 69 00 00 BG-08-0073-07-010-A よ よ よ
1 kaneko 0196 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0196 0 57 00 00 BG-03-1000-01-010-A この この この
1 kaneko 0196 0 16 00 00 BG-01-1624-04-010-A 秋 あき 秋
1 kaneko 0196 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0196 0 16 00 00 BG-01-1635-05-040-A 夜 よる 夜
1 kaneko 0196 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0196 0 51 50 01 BG-03-1920-01-010-A 長い ながい 長い
1 kaneko 0196 1 23 00 00 BG-03-1300-01-010-A よう よう よう
1 kaneko 0196 2 23 00 00 BG-03-1140-01-070-A -- よう よう
1 kaneko 0196 0 72 00 00 BG-08-0072-02-010-A に に に
1 kaneko 0196 1 51 51 01 BG-03-1920-07-170-A 果てしもない はてしもない 果てしもない
1 kaneko 0196 2 51 51 01 BG-03-1920-07-120-A -- はてしない はてしない
1 kaneko 0196 0 17 00 00 BG-01-3011-01-090-A 辛苦 しんく 辛苦
2 kaneko 0196 2 17 00 00 BG-01-3040-05-050-A 辛苦 しんく 辛苦
1 kaneko 0196 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0196 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0196 0 14 00 00 BG-01-2000-02-110-A お前 おまえ お前
1 kaneko 0196 0 61 00 00 BG-01-1670-03-035-A より より より
2 kaneko 0196 2 61 00 00 BG-08-0061-01-020-A より より より
1 kaneko 0196 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0196 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0196 0 02 00 00 BG-01-2000-01-300-A 自分 じぶん 自分
2 kaneko 0196 2 02 00 00 BG-01-2010-01-020-A 自分 じぶん 自分
1 kaneko 0196 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0196 0 67 00 00 BG-08-0069-05-010-A サ さ サ
1 kaneko 0196 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0196 0 55 00 00 BG-03-1320-01-030-A 格別 かくべつ 格別
1 kaneko 0196 0 47 13 05 BG-02-1900-06-042-A 勝っ かつ 勝つ
2 kaneko 0196 2 47 13 05 BG-02-3530-11-010-A 勝っ かつ 勝つ
1 kaneko 0196 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0196 0 47 17 01 BG-02-1200-02-020-A おる おる おる
1 kaneko 0196 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0196 0 78 00 00 BG-16-0078-01-010-A 。 。 。
1 kaneko 0196 1 63 00 00 BG-08-0063-07-010-A という という という
1 kaneko 0196 3 63 00 00 BG-08-0061-04-010-A -- と と
1 kaneko 0196 3 63 00 00 BG-02-3120-01-010-A -- いう 云う
1 kaneko 0196 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0196 0 02 00 00 BG-01-1750-05-060-A 表面 ひょうめん 表面
1 kaneko 0196 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0196 0 02 00 00 BG-01-3045-01-010-A 意 い 意
1 kaneko 0196 0 61 00 00 BG-08-0061-03-010-A で で で
1 kaneko 0196 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0196 0 57 00 00 BG-03-1000-01-010-A この この この
1 kaneko 0196 0 02 00 00 BG-01-2100-05-030-A 家 いえ 家
2 kaneko 0196 2 02 00 00 BG-01-2510-01-050-A 家 いえ 家
1 kaneko 0196 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0196 0 02 00 00 BG-01-2010-03-040-A 主人公 しゅじんこう 主人公
1 kaneko 0196 0 69 00 00 BG-08-0069-30-010-A よ よ よ
2 kaneko 0196 2 69 00 00 BG-08-0073-07-010-A よ よ よ
1 kaneko 0196 0 79 00 00 BG-16-0079-01-010-A 、 、 、
