1 kaneko 0507 0 55 00 00 BG-03-1000-04-050-A いかに いかに いかに
1 kaneko 0507 1 47 21 01 BG-02-3060-01-010-A 思う おもう 思う
1 kaneko 0507 2 47 21 01 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0507 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0507 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0507 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0507 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0507 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0507 1 47 21 01 BG-02-3060-03-150-A 恋い慕う こいしたう 恋い慕う
1 kaneko 0507 3 47 21 01 BG-02-3060-03-070-A -- こいする 恋する
1 kaneko 0507 3 47 21 01 BG-02-3020-08-010-A -- したう したう
1 kaneko 0507 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0507 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0507 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0507 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0507 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0507 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0507 0 57 00 00 BG-03-1000-02-010-A その その その
1 kaneko 0507 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0507 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
1 kaneko 0507 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0507 0 47 21 02 BG-02-1556-01-020-A 逢わ あう 逢う
2 kaneko 0507 2 47 21 02 BG-02-3510-01-010-A 逢わ あう 逢う
1 kaneko 0507 0 49 06 03 BG-02-1110-02-010-A れよ れる れる
2 kaneko 0507 2 49 06 03 BG-09-0040-02-010-A れよ れる れる
1 kaneko 0507 0 74 70 01 BG-09-0010-02-010-A う う う
1 kaneko 0507 0 21 00 00 BG-01-1000-03-010-A もの もの もの
1 kaneko 0507 0 70 00 00 BG-08-0069-28-015-A か か か
2 kaneko 0507 2 70 00 00 BG-08-0070-01-010-A か か か
2 kaneko 0507 2 70 00 00 BG-08-0065-14-040-C -- か か
1 kaneko 0507 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0507 0 56 00 00 BG-03-1200-03-160-A とても とても とても
2 kaneko 0507 2 56 00 00 BG-03-1993-06-090-A とても とても とても
1 kaneko 0507 0 47 21 02 BG-02-1556-01-020-A 逢わ あう 逢う
2 kaneko 0507 2 47 21 02 BG-02-3510-01-010-A 逢わ あう 逢う
1 kaneko 0507 0 49 06 01 BG-02-1110-02-010-A れる れる れる
2 kaneko 0507 2 49 06 01 BG-09-0040-02-010-A れる れる れる
