1 kaneko 0821 1 02 00 00 BG-01-5151-06-030-A 秋風 あきかぜ 秋風
1 kaneko 0821 3 02 00 00 BG-01-1624-04-010-A -- あき 秋
1 kaneko 0821 3 02 00 00 BG-01-5151-01-010-A -- かぜ 風
1 kaneko 0821 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0821 0 47 08 04 BG-02-3394-07-010-A 吹き ふく 吹く
2 kaneko 0821 2 47 08 04 BG-02-5150-05-010-A 吹き ふく 吹く
1 kaneko 0821 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0821 0 47 08 05 BG-02-3394-07-010-A 吹い ふく 吹く
2 kaneko 0821 2 47 08 05 BG-02-5150-05-010-A 吹い ふく 吹く
1 kaneko 0821 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0821 0 11 00 00 BG-01-2590-05-050-A 武蔵野 むさしの 武蔵野
2 kaneko 0821 2 11 00 00 BG-01-5240-17-020-A 武蔵野 むさしの 武蔵野
3 kaneko 0821 2 11 00 00 CH-13-0000-00-010-A 武蔵野 むさしの 武蔵野
1 kaneko 0821 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0821 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0821 0 18 00 00 BG-04-3130-03-010-A 流石 さすが 流石
1 kaneko 0821 0 72 00 00 BG-08-0072-02-010-A に に に
1 kaneko 0821 0 51 50 01 BG-03-1920-07-010-A 広い ひろい 広い
1 kaneko 0821 0 02 00 00 BG-01-5240-14-010-A 野 の 野
1 kaneko 0821 0 64 00 00 BG-08-0064-22-010-A ながら ながら ながら
1 kaneko 0821 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0821 0 02 00 00 BG-01-1980-03-050-A 総体 そうたい 総体
1 kaneko 0821 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0821 0 16 00 00 BG-01-1980-02-070-A 皆 みな 皆
2 kaneko 0821 2 16 00 00 BG-03-1980-05-010-A 皆 みな 皆
1 kaneko 0821 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0821 0 02 00 00 BG-01-5510-06-010-A 草 くさ 草
1 kaneko 0821 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0821 1 02 00 00 BG-01-5020-07-101-A 葉色 はいろ 葉色
1 kaneko 0821 3 02 00 00 BG-01-5530-09-010-A -- は 葉
