1 kaneko 0659 0 02 00 00 BG-01-4720-04-010-A 堤 つつみ 堤
1 kaneko 0659 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0659 1 51 50 01 BG-03-1920-04-050-A 高い たかい 高い
1 kaneko 0659 2 51 50 01 BG-03-1950-11-060-A -- たかい 高い
1 kaneko 0659 2 51 50 01 BG-03-3700-10-010-A -- たかい 高い
1 kaneko 0659 2 51 50 01 BG-03-5030-02-010-A -- たかい 高い
1 kaneko 0659 1 64 00 00 BG-01-1113-01-130-A ので ので ので
1 kaneko 0659 2 64 00 00 BG-08-0064-24-010-A -- ので ので
1 kaneko 0659 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0659 0 14 00 00 BG-01-1000-01-050-A それ それ それ
1 kaneko 0659 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0659 0 02 00 00 BG-01-5250-01-010-A 川 かわ 川
1 kaneko 0659 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0659 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0659 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0659 0 47 06 04 BG-02-1556-01-020-C 見 みる 見る
2 kaneko 0659 2 47 06 04 BG-02-3060-01-015-A 見 みる 見る
3 kaneko 0659 2 47 06 04 BG-02-3090-02-010-A 見 みる 見る
4 kaneko 0659 2 47 06 04 BG-02-3510-01-080-C 見 みる 見る
1 kaneko 0659 0 64 00 00 BG-08-0064-22-010-A ながら ながら ながら
1 kaneko 0659 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0659 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0659 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0659 0 47 17 05 BG-02-1503-01-021-C 渡り わたる 渡る
2 kaneko 0659 2 47 17 05 BG-02-1521-04-010-A 渡り わたる 渡る
3 kaneko 0659 2 47 17 05 BG-02-1521-12-010-A 渡り わたる 渡る
1 kaneko 0659 0 47 06 01 BG-02-1310-01-030-A かねる かねる かねる
1 kaneko 0659 1 23 00 00 BG-03-1300-01-010-A よう よう よう
1 kaneko 0659 2 23 00 00 BG-03-1140-01-070-A -- よう よう
1 kaneko 0659 0 72 00 00 BG-08-0072-02-010-A に に に
1 kaneko 0659 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0659 0 51 51 07 BG-03-3020-04-030-A 恋しく こいしい 恋しい
1 kaneko 0659 1 47 21 01 BG-02-3060-01-010-A 思う おもう 思う
1 kaneko 0659 2 47 21 01 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0659 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0659 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
1 kaneko 0659 0 61 00 00 BG-08-0061-10-010-A を を を
1 kaneko 0659 0 47 06 04 BG-02-1556-01-020-C 見 みる 見る
2 kaneko 0659 2 47 06 04 BG-02-3060-01-015-A 見 みる 見る
3 kaneko 0659 2 47 06 04 BG-02-3090-02-010-A 見 みる 見る
4 kaneko 0659 2 47 06 04 BG-02-3510-01-080-C 見 みる 見る
1 kaneko 0659 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0659 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0659 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0659 0 75 00 00 BG-04-3100-01-020-A ああ ああ ああ
1 kaneko 0659 0 14 00 00 BG-01-2000-03-010-A 彼 かれ 彼
1 kaneko 0659 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0659 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0659 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0659 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0659 1 47 21 04 BG-02-3060-01-010-A 思い おもう 思う
1 kaneko 0659 2 47 21 04 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0659 0 64 00 00 BG-08-0064-22-010-A ながら ながら ながら
1 kaneko 0659 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0659 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0659 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0659 1 02 00 00 BG-01-3092-07-040-A 人目 ひとめ 人目
