1 kaneko 0539 0 02 00 00 BG-01-5720-04-030-A 胸 むね 胸
1 kaneko 0539 0 61 00 00 BG-08-0061-07-010-A の の の
1 kaneko 0539 0 47 17 06 BG-02-1560-11-050-A 迫っ せまる 迫る
1 kaneko 0539 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0539 0 22 00 00 BG-03-1993-07-010-A あまり あまり あまり
1 kaneko 0539 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0539 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0539 0 02 00 00 BG-01-3031-01-060-A 大声 おおごえ 大声
1 kaneko 0539 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0539 0 47 21 01 BG-02-3120-05-050-A 喚ばらう よばらう 喚ばらう
1 kaneko 0539 0 02 00 00 BG-01-3031-01-010-A 声 こえ 声
1 kaneko 0539 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0539 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0539 0 02 00 00 BG-01-5030-03-030-A 谺 こだま 谺
1 kaneko 0539 0 61 00 00 BG-08-0061-07-010-A の の の
1 kaneko 0539 0 47 08 05 BG-02-1110-04-010-A 響い ひびく 響く
2 kaneko 0539 2 47 08 05 BG-02-5030-01-070-A 響い ひびく 響く
1 kaneko 0539 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0539 0 47 06 02 BG-02-3130-13-010-A 答え こたえる 答える
1 kaneko 0539 0 74 59 01 BG-03-1200-02-090-A ぬ ぬ ぬ
2 kaneko 0539 2 74 59 01 BG-09-0010-01-010-A ぬ ぬ ぬ
3 kaneko 0539 2 74 59 01 BG-09-0010-03-020-C ぬ ぬ ぬ
1 kaneko 0539 0 02 00 00 BG-01-5240-05-010-A 山 やま 山
1 kaneko 0539 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0539 0 47 17 01 BG-02-1200-01-010-A ある ある ある
1 kaneko 0539 0 74 70 01 BG-09-0010-01-040-A まい まい まい
1 kaneko 0539 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0539 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0539 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0539 0 67 00 00 BG-08-0069-05-010-A サ さ サ
1 kaneko 0539 1 47 21 01 BG-02-3060-01-010-A 思う おもう 思う
1 kaneko 0539 2 47 21 01 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0539 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0539 0 78 00 00 BG-16-0078-01-010-A 。 。 。
1 kaneko 0539 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0539 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0539 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0539 0 47 21 01 BG-02-3120-01-010-A いう いう いう
1 kaneko 0539 0 64 00 00 BG-08-0064-04-010-A が が が
1 kaneko 0539 0 02 00 00 BG-01-1750-05-060-A 表面 ひょうめん 表面
1 kaneko 0539 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0539 0 02 00 00 BG-01-3045-01-010-A 意 い 意
1 kaneko 0539 0 61 00 00 BG-08-0061-03-010-A で で で
1 kaneko 0539 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0539 0 56 00 00 BG-03-1991-01-030-A これ程 これほど これ程
1 kaneko 0539 0 72 00 00 BG-08-0072-02-010-A に に に
1 kaneko 0539 0 51 50 07 BG-03-1920-05-010-A 深く ふかい 深い
1 kaneko 0539 1 47 21 01 BG-02-3060-01-010-A 思う おもう 思う
1 kaneko 0539 2 47 21 01 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0539 0 70 00 00 BG-08-0069-28-015-A か か か
2 kaneko 0539 2 70 00 00 BG-08-0070-01-010-A か か か
2 kaneko 0539 2 70 00 00 BG-08-0065-14-040-C -- か か
1 kaneko 0539 0 28 00 00 BG-01-1981-07-060-A ら ら ら
1 kaneko 0539 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0539 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0539 1 47 21 05 BG-02-3060-01-010-A 思っ おもう 思う
1 kaneko 0539 2 47 21 05 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0539 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0539 0 48 48 07 BG-02-3770-05-020-A くれ くれる くれる
1 kaneko 0539 0 74 59 01 BG-03-1200-02-090-A ぬ ぬ ぬ
2 kaneko 0539 2 74 59 01 BG-09-0010-01-010-A ぬ ぬ ぬ
3 kaneko 0539 2 74 59 01 BG-09-0010-03-020-C ぬ ぬ ぬ
1 kaneko 0539 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0539 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
1 kaneko 0539 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0539 0 47 17 01 BG-02-1200-01-010-A ある ある ある
1 kaneko 0539 0 74 70 01 BG-09-0010-01-040-A まい まい まい
1 kaneko 0539 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0539 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0539 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0539 1 47 21 01 BG-02-3060-01-010-A 思う おもう 思う
1 kaneko 0539 2 47 21 01 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0539 0 78 00 00 BG-16-0078-01-010-A 。 。 。
1 kaneko 0539 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0539 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0539 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0539 0 47 21 01 BG-02-3120-01-010-A いう いう いう
1 kaneko 0539 0 64 00 00 BG-08-0064-04-010-A が が が
1 kaneko 0539 0 02 00 00 BG-01-1750-05-070-A 裏面 りめん 裏面
1 kaneko 0539 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0539 0 02 00 00 BG-01-3045-01-010-A 意 い 意
1 kaneko 0539 0 78 00 00 BG-16-0078-01-010-A 。 。 。
