1 kaneko 0603 0 55 00 00 BG-04-3150-01-010-A もし もし もし
1 kaneko 0603 0 14 00 00 BG-01-2000-01-020-A 私 わたし 私
1 kaneko 0603 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0603 0 16 00 00 BG-03-1000-01-110-A このまま このまま このまま
1 kaneko 0603 1 47 14 03 BG-02-3060-03-160-A 恋い死の こいしぬ 恋い死ぬ
1 kaneko 0603 3 47 14 03 BG-02-3060-03-070-A -- こいする 恋する
1 kaneko 0603 3 47 14 03 BG-02-5820-01-010-A -- しぬ 死ぬ
1 kaneko 0603 0 74 70 01 BG-09-0010-02-010-A う う う
1 kaneko 0603 0 74 55 07 BG-09-0050-01-030-A なら だ だ
1 kaneko 0603 1 64 00 00 BG-08-0064-26-010-A ば ば ば
1 kaneko 0603 2 64 00 00 BG-04-1120-05-150-A -- ば ば
1 kaneko 0603 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0603 0 14 00 00 BG-01-2000-06-010-A 誰 だれ 誰
1 kaneko 0603 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0603 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0603 0 16 00 00 BG-01-1040-08-020-A ほか ほか ほか
2 kaneko 0603 2 16 00 00 BG-03-1000-13-010-A ほか ほか ほか
1 kaneko 0603 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0603 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0603 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
1 kaneko 0603 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0603 0 02 00 00 BG-01-3102-02-020-A 名 な 名
1 kaneko 0603 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0603 0 47 13 04 BG-02-1513-01-010-A 立ち たつ 立つ
2 kaneko 0603 2 47 13 04 BG-02-1521-06-020-A 立ち たつ 立つ
3 kaneko 0603 2 47 13 04 BG-02-3330-11-020-A 立ち たつ 立つ
4 kaneko 0603 2 47 13 04 BG-02-3391-02-110-A 立ち たつ 立つ
1 kaneko 0603 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0603 0 47 03 02 BG-02-3420-01-010-A す する する
1 kaneko 0603 0 74 70 01 BG-09-0010-01-040-A まい まい まい
1 kaneko 0603 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0603 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0603 0 14 00 00 BG-01-1730-03-030-A あなた あなた あなた
2 kaneko 0603 2 14 00 00 BG-01-1731-02-030-A あなた あなた あなた
3 kaneko 0603 2 14 00 00 BG-01-2000-02-010-A あなた あなた あなた
1 kaneko 0603 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0603 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0603 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0603 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
