1 kaneko 0775 0 56 00 00 BG-03-1000-01-040-A こう こう こう
1 kaneko 0775 0 18 00 00 BG-03-5010-02-140-A さやか さやか さやか
1 kaneko 0775 0 74 55 06 BG-09-0050-01-030-A な だ だ
1 kaneko 0775 1 02 00 00 BG-01-1635-05-170-A 月夜 つきよ 月夜
1 kaneko 0775 3 02 00 00 BG-01-5210-05-010-A -- つき 月
1 kaneko 0775 3 02 00 00 BG-01-1635-05-040-A -- よる 夜
1 kaneko 0775 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0775 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0775 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0775 0 02 00 00 BG-03-1600-01-025-A 常 つね 常
1 kaneko 0775 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0775 0 47 02 02 BG-02-1527-01-010-A 来 くる 来る
1 kaneko 0775 0 74 59 01 BG-03-1200-02-090-A ぬ ぬ ぬ
2 kaneko 0775 2 74 59 01 BG-09-0010-01-010-A ぬ ぬ ぬ
3 kaneko 0775 2 74 59 01 BG-09-0010-03-020-C ぬ ぬ ぬ
1 kaneko 0775 0 57 00 00 BG-03-1000-03-010-A あの あの あの
1 kaneko 0775 0 51 50 01 BG-03-3011-02-010-A つらい つらい つらい
1 kaneko 0775 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0775 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
1 kaneko 0775 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0775 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0775 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0775 0 02 00 00 BG-01-1632-01-010-A 月 つき 月
2 kaneko 0775 2 02 00 00 BG-01-5210-05-010-A 月 つき 月
1 kaneko 0775 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0775 0 02 00 00 BG-01-1750-01-010-A 面 おもて 面
2 kaneko 0775 2 02 00 00 BG-01-4570-03-020-A 面 おもて 面
1 kaneko 0775 0 02 00 00 BG-01-5020-03-041-A 白さ しろさ 白さ
2 kaneko 0775 2 02 00 00 BG-03-5020-02-011-A 白さ しろさ 白さ
1 kaneko 0775 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0775 1 47 12 04 BG-02-3000-04-060-A 浮かれ出し うかれだす 浮かれ出す
1 kaneko 0775 3 47 12 04 BG-02-3000-04-010-A -- うかれる 浮かれる
1 kaneko 0775 3 47 12 04 BG-02-1502-01-050-A -- だす −だす
1 kaneko 0775 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0775 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0775 0 56 00 00 BG-04-3150-01-020-A もしも もしも もしも
1 kaneko 0775 0 47 02 04 BG-02-1527-01-010-A 来 くる 来る
1 kaneko 0775 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0775 0 47 03 06 BG-02-3420-01-010-A せ する する
