1 kaneko 0645 0 16 00 00 BG-01-1642-02-160-A 昨夜 さくや 昨夜
1 kaneko 0645 0 42 00 00 BG-05-0070-01-010-A お お お
1 kaneko 0645 0 47 21 04 BG-02-1556-01-020-A 逢い あう 逢う
2 kaneko 0645 2 47 21 04 BG-02-3510-01-010-A 逢い あう 逢う
1 kaneko 0645 0 47 12 04 BG-02-3120-01-020-A 申し もうす 申す
1 kaneko 0645 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0645 1 23 00 00 BG-03-1300-01-010-A よう よう よう
1 kaneko 0645 2 23 00 00 BG-03-1140-01-070-A -- よう よう
1 kaneko 0645 0 74 55 06 BG-09-0050-01-030-A な だ だ
1 kaneko 0645 0 58 00 00 BG-04-1130-01-080-A が が が
1 kaneko 0645 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0645 0 14 00 00 BG-01-1730-03-030-A あなた あなた あなた
2 kaneko 0645 2 14 00 00 BG-01-1731-02-030-A あなた あなた あなた
3 kaneko 0645 2 14 00 00 BG-01-2000-02-010-A あなた あなた あなた
1 kaneko 0645 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0645 0 02 00 00 BG-01-1527-02-090-A お出で おいで お出で
2 kaneko 0645 2 02 00 00 BG-02-1527-02-110-A お出で おいで お出で
1 kaneko 0645 1 47 06 04 BG-02-3770-05-080-A くだされ くだされる くだされる
1 kaneko 0645 2 47 06 04 BG-02-3770-05-030-A -- くださる 下さる
1 kaneko 0645 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0645 0 70 00 00 BG-08-0069-28-015-A か か か
2 kaneko 0645 2 70 00 00 BG-08-0070-01-010-A か か か
2 kaneko 0645 2 70 00 00 BG-08-0065-14-040-C -- か か
1 kaneko 0645 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0645 0 58 00 00 BG-04-1140-01-040-A 但しは ただしは 但しは
1 kaneko 0645 0 14 00 00 BG-01-2000-01-020-A わたし わたし わたし
1 kaneko 0645 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0645 0 47 17 06 BG-02-1527-02-120-A 参っ まいる 参る
2 kaneko 0645 2 47 17 06 BG-02-1527-03-070-A 参っ まいる 参る
1 kaneko 0645 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0645 0 70 00 00 BG-08-0069-28-015-A か か か
2 kaneko 0645 2 70 00 00 BG-08-0070-01-010-A か か か
2 kaneko 0645 2 70 00 00 BG-08-0065-14-040-C -- か か
1 kaneko 0645 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0645 0 51 51 07 BG-03-1940-04-010-A あわただしく あわただしい あわただしい
1 kaneko 0645 1 17 00 00 BG-01-3521-04-100-A お別れ おわかれ お別れ
1 kaneko 0645 2 17 00 00 BG-01-3521-04-010-A -- わかれ 別れ
1 kaneko 0645 2 17 00 00 BG-05-0070-01-010-A -- お お
1 kaneko 0645 2 17 00 00 BG-02-3510-02-010-A -- わかれる 別かれる
1 kaneko 0645 0 47 12 04 BG-02-3120-01-020-A 申し もうす 申す
1 kaneko 0645 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0645 1 64 00 00 BG-01-1113-01-130-A ので ので ので
1 kaneko 0645 2 64 00 00 BG-08-0064-24-010-A -- ので ので
1 kaneko 0645 0 79 00 00 BG-16-0079-01-010-A 、 、 、
