1 kaneko 0839 0 55 00 00 BG-04-3120-02-010-A 一体 いったい 一体
1 kaneko 0839 1 02 00 00 BG-01-1010-01-090-A 物事 ものごと 物事
1 kaneko 0839 3 02 00 00 BG-01-1000-03-020-A -- もの 物
1 kaneko 0839 3 02 00 00 BG-01-1010-01-020-A -- こと 事
1 kaneko 0839 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0839 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0839 0 02 00 00 BG-01-1624-01-010-A 時節 じせつ 時節
1 kaneko 0839 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0839 0 67 00 00 BG-08-0069-05-010-A サ さ サ
1 kaneko 0839 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0839 0 47 17 01 BG-02-1200-01-010-A ある ある ある
1 kaneko 0839 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0839 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0839 0 14 00 00 BG-01-1000-01-050-A それ それ それ
1 kaneko 0839 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0839 0 55 00 00 BG-03-1100-04-070-A 何ぞ なんぞ 何ぞ
1 kaneko 0839 0 65 00 00 BG-08-0065-14-010-C や や や
1 kaneko 0839 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0839 1 47 06 04 BG-02-1552-03-100-A 取り分け とりわける 取り分ける
1 kaneko 0839 3 47 06 04 BG-02-1552-03-020-A -- わける 分ける
1 kaneko 0839 3 47 06 04 BG-02-3061-04-010-A -- とる とる
2 kaneko 0839 2 47 06 04 BG-03-1320-01-080-A 取り分け とりわける 取り分ける
1 kaneko 0839 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0839 0 16 00 00 BG-01-1624-04-010-A 秋 あき 秋
1 kaneko 0839 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0839 0 02 00 00 BG-01-2000-01-300-A 自分 じぶん 自分
2 kaneko 0839 2 02 00 00 BG-01-2010-01-020-A 自分 じぶん 自分
1 kaneko 0839 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0839 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0839 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0839 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
1 kaneko 0839 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0839 0 17 00 00 BG-01-3521-04-100-A 死別 しべつ 死別
1 kaneko 0839 0 47 03 02 BG-02-3420-01-010-A す する する
1 kaneko 0839 0 74 60 04 BG-04-3110-02-140-A べき べし べし
2 kaneko 0839 2 74 60 04 BG-09-0010-02-060-C べき べし べし
1 kaneko 0839 0 21 00 00 BG-01-1010-01-020-A 事 こと 事
1 kaneko 0839 0 74 55 04 BG-09-0050-01-030-A で だ だ
1 kaneko 0839 0 74 18 03 BG-02-1200-01-010-A あろ ある ある
2 kaneko 0839 2 74 18 03 BG-03-1000-07-010-A あろ ある ある
1 kaneko 0839 0 74 70 01 BG-09-0010-02-010-A う う う
1 kaneko 0839 0 70 00 00 BG-08-0069-28-015-A か か か
2 kaneko 0839 2 70 00 00 BG-08-0070-01-010-A か か か
2 kaneko 0839 2 70 00 00 BG-08-0065-14-040-C -- か か
1 kaneko 0839 0 79 00 00 BG-16-0079-01-010-A 、 、 、
