1 kaneko 0722 0 02 00 00 BG-01-1771-02-010-A 底 そこ 底
1 kaneko 0722 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0722 0 02 00 00 BG-01-1651-07-010-A 果て はて 果て
1 kaneko 0722 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0722 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0722 0 51 50 01 BG-03-1200-02-010-A ない ない ない
1 kaneko 0722 1 23 00 00 BG-03-1300-01-010-A よう よう よう
1 kaneko 0722 2 23 00 00 BG-03-1140-01-070-A -- よう よう
1 kaneko 0722 0 74 55 06 BG-09-0050-01-030-A な だ だ
1 kaneko 0722 0 51 50 01 BG-03-1920-05-010-A 深い ふかい 深い
1 kaneko 0722 0 02 00 00 BG-01-5250-04-030-A 淵 ふち 淵
1 kaneko 0722 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0722 0 67 00 00 BG-08-0069-05-010-A サ さ サ
1 kaneko 0722 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0722 0 02 00 00 BG-01-5155-01-010-A 波 なみ 波
1 kaneko 0722 0 61 00 00 BG-08-0061-07-010-A の の の
1 kaneko 0722 0 47 11 01 BG-02-3380-01-020-A 騒ぐ さわぐ 騒ぐ
1 kaneko 0722 0 21 00 00 BG-01-1000-03-010-A もの もの もの
1 kaneko 0722 0 70 00 00 BG-08-0069-28-015-A か か か
2 kaneko 0722 2 70 00 00 BG-08-0070-01-010-A か か か
2 kaneko 0722 2 70 00 00 BG-08-0065-14-040-C -- か か
1 kaneko 0722 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0722 0 58 00 00 BG-04-3100-01-280-A いや いや いや
1 kaneko 0722 0 02 00 00 BG-01-3380-01-040-A 騒ぎ さわぎ 騒ぎ
1 kaneko 0722 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0722 0 47 03 06 BG-02-3420-01-010-A せ する する
1 kaneko 0722 0 74 59 01 BG-03-1200-02-090-A ぬ ぬ ぬ
2 kaneko 0722 2 74 59 01 BG-09-0010-01-010-A ぬ ぬ ぬ
3 kaneko 0722 2 74 59 01 BG-09-0010-03-020-C ぬ ぬ ぬ
1 kaneko 0722 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0722 0 02 00 00 BG-01-5240-04-050-A 山川 やまかわ 山川
1 kaneko 0722 0 61 00 00 BG-08-0061-07-010-A の の の
1 kaneko 0722 0 51 50 01 BG-03-1920-05-070-A 浅い あさい 浅い
1 kaneko 0722 0 02 00 00 BG-01-5250-04-040-A 瀬 せ 瀬
2 kaneko 0722 2 02 00 00 BG-01-5260-13-010-A 瀬 せ 瀬
1 kaneko 0722 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0722 0 65 00 00 BG-08-0065-01-010-A こそ こそ こそ
1 kaneko 0722 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0722 0 17 00 00 BG-03-5039-02-020-A ざわざわ ざわざわ ざわざわ
1 kaneko 0722 0 68 00 00 BG-08-0068-04-010-A と と と
1 kaneko 0722 0 02 00 00 BG-01-2200-02-050-A 仇 あだ 仇
1 kaneko 0722 0 74 55 06 BG-09-0050-01-030-A な だ だ
1 kaneko 0722 0 02 00 00 BG-01-5155-01-010-A 波 なみ 波
1 kaneko 0722 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0722 0 47 13 01 BG-02-1513-01-010-A 立つ たつ 立つ
2 kaneko 0722 2 47 13 01 BG-02-1521-06-020-A 立つ たつ 立つ
3 kaneko 0722 2 47 13 01 BG-02-3330-11-020-A 立つ たつ 立つ
4 kaneko 0722 2 47 13 01 BG-02-3391-02-110-A 立つ たつ 立つ
1 kaneko 0722 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0722 0 69 00 00 BG-08-0069-02-020-A い い い
1 kaneko 0722 0 78 00 00 BG-16-0078-01-010-A 。 。 。
1 kaneko 0722 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0722 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0722 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0722 0 47 21 01 BG-02-3120-01-010-A いう いう いう
1 kaneko 0722 0 64 00 00 BG-08-0064-04-010-A が が が
1 kaneko 0722 0 02 00 00 BG-01-1750-05-060-A 表面 ひょうめん 表面
1 kaneko 0722 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0722 0 02 00 00 BG-01-3045-01-010-A 意 い 意
1 kaneko 0722 0 61 00 00 BG-08-0061-03-010-A で で で
1 kaneko 0722 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0722 0 14 00 00 BG-01-2000-01-020-A 私 わたし 私
1 kaneko 0722 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0722 1 23 00 00 BG-03-1300-01-010-A よう よう よう
1 kaneko 0722 2 23 00 00 BG-03-1140-01-070-A -- よう よう
1 kaneko 0722 0 74 55 06 BG-09-0050-01-030-A な だ だ
