1 kaneko 0705 0 18 00 00 BG-03-1300-07-040-A いろいろ いろいろ いろいろ
1 kaneko 0705 0 72 00 00 BG-08-0072-02-010-A に に に
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 0 18 00 00 BG-01-3020-18-030-A 親切 しんせつ 親切
2 kaneko 0705 2 18 00 00 BG-03-3680-06-070-A 親切 しんせつ 親切
1 kaneko 0705 0 72 00 00 BG-08-0072-02-010-A に に に
1 kaneko 0705 0 47 21 02 BG-02-3120-01-010-A 言わ いう 言う
1 kaneko 0705 0 49 06 01 BG-02-1110-02-010-A れる れる れる
2 kaneko 0705 2 49 06 01 BG-09-0040-02-010-A れる れる れる
1 kaneko 0705 0 64 00 00 BG-08-0064-04-010-A が が が
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 0 55 00 00 BG-03-1010-01-040-A 誠に まことに 誠に
1 kaneko 0705 1 47 21 01 BG-02-3060-01-010-A 思う おもう 思う
1 kaneko 0705 2 47 21 01 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0705 0 69 00 00 BG-08-0069-29-010-A やら やら やら
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 1 47 21 02 BG-02-3060-01-010-A 思わ おもう 思う
1 kaneko 0705 2 47 21 02 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0705 0 74 59 01 BG-03-1200-02-090-A ぬ ぬ ぬ
2 kaneko 0705 2 74 59 01 BG-09-0010-01-010-A ぬ ぬ ぬ
3 kaneko 0705 2 74 59 01 BG-09-0010-03-020-C ぬ ぬ ぬ
1 kaneko 0705 0 69 00 00 BG-08-0069-29-010-A やら やら やら
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 0 42 00 00 BG-05-0070-01-010-A お お お
1 kaneko 0705 0 02 00 00 BG-01-3000-01-020-A 心 こころ 心
2 kaneko 0705 2 02 00 00 BG-01-3061-01-120-A 心 こころ 心
1 kaneko 0705 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0705 0 22 00 00 BG-01-1770-01-030-A うち うち うち
2 kaneko 0705 2 22 00 00 BG-01-1990-06-070-A うち うち うち
1 kaneko 0705 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0705 0 47 21 04 BG-02-3130-11-020-A 問い とう 問う
1 kaneko 0705 0 52 50 01 BG-03-1230-03-090-A 難い がたい 難い
1 kaneko 0705 0 21 00 00 BG-07-0010-03-010-A の の の
1 kaneko 0705 0 74 55 04 BG-09-0050-01-030-A で だ だ
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 0 17 00 00 BG-01-3012-01-050-A 心配 しんぱい 心配
1 kaneko 0705 0 47 03 07 BG-02-3420-01-010-A し する する
1 kaneko 0705 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0705 0 48 06 04 BG-02-1200-02-010-A い いる いる
1 kaneko 0705 0 74 58 04 BG-09-0030-03-030-A まし ます ます
1 kaneko 0705 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0705 0 64 00 00 BG-08-0064-04-010-A が が が
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 0 56 00 00 BG-03-3310-01-040-A 幸い さいわい 幸い
1 kaneko 0705 0 14 00 00 BG-01-2000-01-020-A 私 わたし 私
1 kaneko 0705 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0705 1 02 00 00 BG-01-3410-02-040-A 身の程 みのほど 身の程
1 kaneko 0705 3 02 00 00 BG-01-5700-01-040-A -- み 身
1 kaneko 0705 3 02 00 00 BG-08-0071-01-010-A -- の の
1 kaneko 0705 3 02 00 00 BG-01-1990-01-030-A -- ほど ほど
1 kaneko 0705 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0705 0 47 17 02 BG-02-3060-07-010-A 知ら しる 知る
1 kaneko 0705 0 49 06 01 BG-02-1110-02-010-A れる れる れる
2 kaneko 0705 2 49 06 01 BG-09-0040-02-010-A れる れる れる
1 kaneko 0705 0 02 00 00 BG-01-5153-01-010-A 雨 あめ 雨
1 kaneko 0705 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 0 47 17 05 BG-02-1540-10-010-A 降り ふる 降る
2 kaneko 0705 2 47 17 05 BG-02-5150-03-010-A 降り ふる 降る
1 kaneko 0705 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0705 0 47 17 06 BG-02-1540-10-010-A 降っ ふる 降る
2 kaneko 0705 2 47 17 06 BG-02-5150-03-010-A 降っ ふる 降る
1 kaneko 0705 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0705 0 67 00 00 BG-08-0069-05-010-A サ さ サ
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 0 47 02 04 BG-02-1527-01-010-A 来 くる 来る
1 kaneko 0705 0 74 58 04 BG-09-0030-03-030-A まし ます ます
1 kaneko 0705 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0705 0 78 00 00 BG-16-0078-01-010-A 。 。 。
1 kaneko 0705 0 57 00 00 BG-03-1000-01-010-A この この この
1 kaneko 0705 0 02 00 00 BG-01-5153-02-010-A 大雨 おおあめ 大雨
1 kaneko 0705 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0705 0 02 00 00 BG-01-5153-01-010-A 雨 あめ 雨
1 kaneko 0705 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0705 1 17 00 00 BG-02-5130-01-160-A 濡れ濡れ ぬれぬれ 濡れ濡れ
1 kaneko 0705 2 17 00 00 BG-02-5130-01-010-A -- ぬれる ぬれる
1 kaneko 0705 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0705 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0705 0 47 02 04 BG-02-1527-01-010-A 来 くる 来る
1 kaneko 0705 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0705 1 47 17 07 BG-02-3770-05-030-A くだされ くださる くださる
1 kaneko 0705 2 47 17 07 BG-02-3770-05-020-A -- くれる くれる
1 kaneko 0705 1 64 00 00 BG-08-0064-26-010-A ば ば ば
1 kaneko 0705 2 64 00 00 BG-04-1120-05-150-A -- ば ば
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 0 14 00 00 BG-01-2000-01-020-A 私 わたし 私
1 kaneko 0705 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0705 0 18 00 00 BG-01-3020-18-020-A 深切 しんせつ 深切
1 kaneko 0705 0 72 00 00 BG-08-0072-02-010-A に に に
1 kaneko 0705 1 47 21 02 BG-02-3060-01-010-A 思わ おもう 思う
1 kaneko 0705 2 47 21 02 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0705 0 49 06 04 BG-02-1110-02-010-A れ れる れる
2 kaneko 0705 2 49 06 04 BG-09-0040-02-010-A れ れる れる
1 kaneko 0705 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0705 0 48 06 01 BG-02-1200-02-010-A いる いる いる
1 kaneko 0705 0 02 00 00 BG-01-3310-03-130-A 幸 こう 幸
1 kaneko 0705 0 47 17 01 BG-02-1200-01-010-A ある ある ある
1 kaneko 0705 0 02 00 00 BG-01-5700-01-040-A 身 み 身
1 kaneko 0705 0 61 00 00 BG-08-0061-04-010-A と と と
1 kaneko 0705 0 47 17 05 BG-02-3060-07-010-A 知り しる 知る
1 kaneko 0705 0 74 58 03 BG-09-0030-03-030-A ましょ ます ます
1 kaneko 0705 0 74 70 01 BG-09-0010-02-010-A う う う
1 kaneko 0705 0 64 00 00 BG-08-0064-10-010-A し し し
1 kaneko 0705 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0705 0 47 02 04 BG-02-1527-01-010-A 来 くる 来る
1 kaneko 0705 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0705 1 47 17 02 BG-02-3770-05-030-A くださら くださる くださる
1 kaneko 0705 2 47 17 02 BG-02-3770-05-020-A -- くれる くれる
1 kaneko 0705 0 74 59 04 BG-03-1200-02-090-A ず ぬ ぬ
2 kaneko 0705 2 74 59 04 BG-09-0010-01-010-A ず ぬ ぬ
3 kaneko 0705 2 74 59 04 BG-09-0010-03-020-C ず ぬ ぬ
1 kaneko 0705 1 64 00 00 BG-08-0064-26-010-A ば ば ば
1 kaneko 0705 2 64 00 00 BG-04-1120-05-150-A -- ば ば
1 kaneko 0705 1 47 21 02 BG-02-3060-01-010-A 思わ おもう 思う
1 kaneko 0705 2 47 21 02 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0705 0 49 06 02 BG-02-1110-02-010-A れ れる れる
2 kaneko 0705 2 49 06 02 BG-09-0040-02-010-A れ れる れる
1 kaneko 0705 0 74 59 01 BG-03-1200-02-090-A ぬ ぬ ぬ
